"날짜","종가","시가","고가","저가","거래량","변동 %"
"2008- 04- 20","9,329.00","8,350.00","9,329.00","8,350.00","","13.73%"
"2008- 04- 13","8,203.00","7,961.00","8,203.00","7,957.00","","3.98%"
"2008- 04- 06","7,889.00","7,741.00","7,889.00","7,741.00","","1.96%"
"2008- 03- 30","7,737.00","8,081.00","8,081.00","7,655.00","","-4.11%"
"2008- 03- 23","8,069.00","7,619.00","8,069.00","7,619.00","","5.01%"
"2008- 03- 16","7,684.00","7,913.00","7,913.00","7,684.00","","-3.61%"
"2008- 03- 09","7,972.00","8,624.00","8,624.00","7,972.00","","-6.61%"
"2008- 03- 02","8,536.00","7,878.00","8,536.00","7,878.00","","12.12%"
"2008- 02- 24","7,613.00","7,296.00","7,613.00","7,296.00","","5.93%"
"2008- 02- 17","7,187.00","7,381.00","7,381.00","6,998.00","","-2.28%"
"2008- 02- 10","7,355.00","6,520.00","7,355.00","6,520.00","","15.77%"
"2008- 02- 03","6,353.00","6,121.00","6,353.00","6,002.00","","3.57%"
"2008- 01- 27","6,134.00","5,692.00","6,134.00","5,615.00","","6.12%"
"2008- 01- 20","5,780.00","6,513.00","6,513.00","5,780.00","","-10.55%"
"2008- 01- 13","6,462.00","7,654.00","7,654.00","6,462.00","","-18.71%"
"2008- 01- 06","7,949.00","8,732.00","8,732.00","7,949.00","","-8.65%"
"2007- 12- 30","8,702.00","8,891.00","8,891.00","8,702.00","","-4.82%"
"2007- 12- 23","9,143.00","9,143.00","9,143.00","9,143.00","","-1.01%"
"2007- 12- 16","9,236.00","9,848.00","9,848.00","9,236.00","","-6.88%"
"2007- 12- 09","9,918.00","9,992.00","9,992.00","9,918.00","","-1.49%"
"2007- 12- 02","10,068.00","10,270.00","10,285.00","10,068.00","","-1.39%"
"2007- 11- 25","10,210.00","10,003.00","10,210.00","9,897.00","","0.61%"
"2007- 11- 18","10,148.00","10,780.00","10,780.00","10,148.00","","-6.64%"
"2007- 11- 11","10,870.00","10,995.00","11,039.00","10,870.00","","0.03%"
