,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,BDI_return,BDI_vol,30_yield,3m_yield,7_yield
2015-10-23,17646.69921875,2075.14990234375,18456.84908695652,241.14574193548387,1.3082103064516128,721.0,-0.070932736304778,0.0686687247742056,290.0,1.0,181.0
2015-10-30,17663.5390625,2079.360107421875,18463.757478260868,241.2563870967742,1.3070101903225806,631.0,-0.13333327474373585,0.04412384387987666,293.0,8.0,188.0
2015-11-06,17910.330078125,2099.199951171875,18470.66586956522,238.87416666666667,1.3335486083333334,560.0,-0.11936907881201826,0.009874177637125238,309.0,8.0,209.0
2015-11-13,17245.240234375,2023.0400390625,18477.574260869565,235.4948,1.3711824400000001,498.0,-0.11733670670454205,0.0014371040990226222,306.0,14.0,205.0
2015-11-20,17823.810546875,2089.169921875,18484.482652173912,232.11543333333333,1.4088162716666668,581.0,0.15415067982725836,0.1919705720232489,302.0,12.0,204.0
2015-11-27,17813.390625,2090.110107421875,18491.39104347826,228.7360666666667,1.4464501033333335,563.0,-0.03147112871222082,0.13125443955437593,300.0,18.0,199.0
2015-12-04,17847.630859375,2091.68994140625,18498.29943478261,225.70061290322582,1.4686357251612905,522.0,-0.07561204025705165,0.0312123378811025,301.0,23.0,206.0
2015-12-11,17265.2109375,2012.3699951171875,18505.207826086957,223.12370967741936,1.4702237338709678,477.0,-0.09015109699429745,0.010280665610953761,287.0,23.0,191.0
2015-12-18,17128.55078125,2005.550048828125,18512.116217391304,220.5468064516129,1.4718117425806452,478.0,0.002094241603114685,0.06522730445507786,290.0,19.0,200.0
2015-12-25,17552.169921875,2060.989990234375,18519.024608695654,217.96990322580646,1.4733997512903227,478.0,0.002094241603114685,0.06522730445507786,296.0,20.0,206.0
2016-01-01,17425.029296875,2043.93994140625,18525.933,215.393,1.47498776,429.0,-0.10815381356343902,0.07795714742089753,301.0,16.0,209.0
2016-01-08,16346.4501953125,1922.030029296875,18540.222923076923,214.55074193548387,1.3939020429032258,373.0,-0.13987849928420146,0.022432740404159338,291.0,20.0,191.0
2016-01-15,15988.080078125,1880.3299560546875,18554.512846153848,213.70848387096774,1.3128163258064518,354.0,-0.052281506510041126,0.06194042760215636,281.0,24.0,179.0
2016-01-22,16093.509765625,1906.9000244140625,18568.80276923077,212.8662258064516,1.2317306087096775,317.0,-0.11039513925649382,0.04109254379439914,283.0,31.0,181.0
2016-01-29,16466.30078125,1940.239990234375,18583.092692307695,212.0239677419355,1.1506448916129033,297.0,-0.06516963507458105,0.03197926068960831,275.0,33.0,167.0
2016-02-05,16204.9697265625,1880.050048828125,18597.382615384617,211.8373448275862,1.0698734065517241,291.0,-0.020408871631207123,0.031650639361893676,268.0,30.0,158.0
