"날짜","종가","시가","고가","저가","거래량","변동 %"
"2005- 01- 14","4,721.00","4,721.00","4,721.00","4,721.00","","-1.11%"
"2005- 01- 13","4,774.00","4,774.00","4,774.00","4,774.00","","-0.04%"
"2005- 01- 12","4,776.00","4,776.00","4,776.00","4,776.00","","1.06%"
"2005- 01- 11","4,726.00","4,726.00","4,726.00","4,726.00","","2.14%"
"2005- 01- 10","4,627.00","4,627.00","4,627.00","4,627.00","","3.17%"
"2005- 01- 07","4,485.00","4,485.00","4,485.00","4,485.00","","1.82%"
"2005- 01- 06","4,405.00","4,405.00","4,405.00","4,405.00","","0.23%"
"2005- 01- 05","4,395.00","4,395.00","4,395.00","4,395.00","","-1.37%"
"2005- 01- 04","4,456.00","4,456.00","4,456.00","4,456.00","","-3.09%"
"2004- 12- 24","4,598.00","4,598.00","4,598.00","4,598.00","","-0.88%"
"2004- 12- 23","4,639.00","4,639.00","4,639.00","4,639.00","","-1.70%"
"2004- 12- 22","4,719.00","4,719.00","4,719.00","4,719.00","","-1.93%"
"2004- 12- 21","4,812.00","4,812.00","4,812.00","4,812.00","","-1.78%"
"2004- 12- 20","4,899.00","4,899.00","4,899.00","4,899.00","","-2.08%"
"2004- 12- 17","5,003.00","5,003.00","5,003.00","5,003.00","","-3.34%"
"2004- 12- 16","5,176.00","5,176.00","5,176.00","5,176.00","","-3.49%"
"2004- 12- 15","5,363.00","5,363.00","5,363.00","5,363.00","","-3.39%"
"2004- 12- 14","5,551.00","5,551.00","5,551.00","5,551.00","","-3.41%"
"2004- 12- 13","5,747.00","5,747.00","5,747.00","5,747.00","","-2.21%"
"2004- 12- 10","5,877.00","5,877.00","5,877.00","5,877.00","","-2.26%"
"2004- 12- 09","6,013.00","6,013.00","6,013.00","6,013.00","","-2.00%"
"2004- 12- 08","6,136.00","6,136.00","6,136.00","6,136.00","","-1.03%"
"2004- 12- 07","6,200.00","6,200.00","6,200.00","6,200.00","","-0.13%"
"2004- 12- 06","6,208.00","6,208.00","6,208.00","6,208.00","","0.58%"
"2004- 12- 03","6,172.00","6,172.00","6,172.00","6,172.00","","0.62%"
"2004- 12- 02","6,134.00","6,134.00","6,134.00","6,134.00","","0.69%"
"2004- 12- 01","6,092.00","6,092.00","6,092.00","6,092.00","","0.68%"
"2004- 11- 30","6,051.00","6,051.00","6,051.00","6,051.00","","1.29%"
"2004- 11- 29","5,974.00","5,974.00","5,974.00","5,974.00","","1.77%"
"2004- 11- 26","5,870.00","5,870.00","5,870.00","5,870.00","","2.37%"
"2004- 11- 25","5,734.00","5,734.00","5,734.00","5,734.00","","1.92%"
"2004- 11- 24","5,626.00","5,626.00","5,626.00","5,626.00","","2.03%"
"2004- 11- 23","5,514.00","5,514.00","5,514.00","5,514.00","","1.32%"
"2004- 11- 22","5,442.00","5,442.00","5,442.00","5,442.00","","0.91%"
"2004- 11- 19","5,393.00","5,393.00","5,393.00","5,393.00","","1.09%"
"2004- 11- 18","5,335.00","5,335.00","5,335.00","5,335.00","","1.35%"
"2004- 11- 17","5,264.00","5,264.00","5,264.00","5,264.00","","1.41%"
"2004- 11- 16","5,191.00","5,191.00","5,191.00","5,191.00","","0.76%"
"2004- 11- 15","5,152.00","5,152.00","5,152.00","5,152.00","","0.53%"
"2004- 11- 12","5,125.00","5,125.00","5,125.00","5,125.00","","0.35%"
"2004- 11- 11","5,107.00","5,107.00","5,107.00","5,107.00","","0.49%"
"2004- 11- 10","5,082.00","5,082.00","5,082.00","5,082.00","","0.43%"
"2004- 11- 09","5,060.00","5,060.00","5,060.00","5,060.00","","0.40%"
"2004- 11- 08","5,040.00","5,040.00","5,040.00","5,040.00","","0.26%"
"2004- 11- 05","5,027.00","5,027.00","5,027.00","5,027.00","","0.66%"
"2004- 11- 04","4,994.00","4,994.00","4,994.00","4,994.00","","0.89%"
"2004- 11- 03","4,950.00","4,950.00","4,950.00","4,950.00","","0.26%"
"2004- 11- 02","4,937.00","4,937.00","4,937.00","4,937.00","","0.18%"
"2004- 11- 01","4,928.00","4,928.00","4,928.00","4,928.00","","0.12%"
"2004- 10- 29","4,922.00","4,922.00","4,922.00","4,922.00","","0.20%"
"2004- 10- 28","4,912.00","4,912.00","4,912.00","4,912.00","","0.22%"
"2004- 10- 27","4,901.00","4,901.00","4,901.00","4,901.00","","0.49%"
"2004- 10- 26","4,877.00","4,877.00","4,877.00","4,877.00","","1.01%"
"2004- 10- 25","4,828.00","4,828.00","4,828.00","4,828.00","","0.88%"
"2004- 10- 22","4,786.00","4,786.00","4,786.00","4,786.00","","1.25%"
"2004- 10- 21","4,727.00","4,727.00","4,727.00","4,727.00","","1.37%"
"2004- 10- 20","4,663.00","4,663.00","4,663.00","4,663.00","","0.82%"
"2004- 10- 19","4,625.00","4,625.00","4,625.00","4,625.00","","0.50%"
"2004- 10- 18","4,602.00","4,602.00","4,602.00","4,602.00","","0.66%"
"2004- 10- 15","4,572.00","4,572.00","4,572.00","4,572.00","","1.11%"
"2004- 10- 14","4,522.00","4,522.00","4,522.00","4,522.00","","1.10%"
"2004- 10- 13","4,473.00","4,473.00","4,473.00","4,473.00","","1.47%"
"2004- 10- 12","4,408.00","4,408.00","4,408.00","4,408.00","","1.24%"
"2004- 10- 11","4,354.00","4,354.00","4,354.00","4,354.00","","0.95%"
"2004- 10- 08","4,313.00","4,313.00","4,313.00","4,313.00","","1.39%"
"2004- 10- 07","4,254.00","4,254.00","4,254.00","4,254.00","","1.53%"
"2004- 10- 06","4,190.00","4,190.00","4,190.00","4,190.00","","0.79%"
"2004- 10- 05","4,157.00","4,157.00","4,157.00","4,157.00","","0.65%"
"2004- 10- 04","4,130.00","4,130.00","4,130.00","4,130.00","","0.44%"
"2004- 10- 01","4,112.00","4,112.00","4,112.00","4,112.00","","0.17%"
"2004- 09- 30","4,105.00","4,105.00","4,105.00","4,105.00","","0.12%"
"2004- 09- 29","4,100.00","4,100.00","4,100.00","4,100.00","","-0.15%"
"2004- 09- 28","4,106.00","4,106.00","4,106.00","4,106.00","","-0.41%"
"2004- 09- 27","4,123.00","4,123.00","4,123.00","4,123.00","","-0.63%"
"2004- 09- 24","4,149.00","4,149.00","4,149.00","4,149.00","","-0.74%"
"2004- 09- 23","4,180.00","4,180.00","4,180.00","4,180.00","","-0.99%"
"2004- 09- 22","4,222.00","4,222.00","4,222.00","4,222.00","","-0.17%"
"2004- 09- 21","4,229.00","4,229.00","4,229.00","4,229.00","","-0.09%"
"2004- 09- 20","4,233.00","4,233.00","4,233.00","4,233.00","","0.31%"
"2004- 09- 17","4,220.00","4,220.00","4,220.00","4,220.00","","0.14%"
"2004- 09- 16","4,214.00","4,214.00","4,214.00","4,214.00","","0.14%"
"2004- 09- 15","4,208.00","4,208.00","4,208.00","4,208.00","","0.07%"
"2004- 09- 14","4,205.00","4,205.00","4,205.00","4,205.00","","0.31%"
"2004- 09- 13","4,192.00","4,192.00","4,192.00","4,192.00","","0.70%"
"2004- 09- 10","4,163.00","4,163.00","4,163.00","4,163.00","","1.31%"
"2004- 09- 09","4,109.00","4,109.00","4,109.00","4,109.00","","1.31%"
"2004- 09- 08","4,056.00","4,056.00","4,056.00","4,056.00","","0.95%"
"2004- 09- 07","4,018.00","4,018.00","4,018.00","4,018.00","","0.10%"
"2004- 09- 06","4,014.00","4,014.00","4,014.00","4,014.00","","-0.64%"
"2004- 09- 03","4,040.00","4,040.00","4,040.00","4,040.00","","-0.91%"
"2004- 09- 02","4,077.00","4,077.00","4,077.00","4,077.00","","-1.38%"
"2004- 09- 01","4,134.00","4,134.00","4,134.00","4,134.00","","-1.24%"
"2004- 08- 31","4,186.00","4,186.00","4,186.00","4,186.00","","-0.92%"
"2004- 08- 27","4,225.00","4,225.00","4,225.00","4,225.00","","-0.19%"
"2004- 08- 26","4,233.00","4,233.00","4,233.00","4,233.00","","0.21%"
"2004- 08- 25","4,224.00","4,224.00","4,224.00","4,224.00","","0.26%"
"2004- 08- 24","4,213.00","4,213.00","4,213.00","4,213.00","","0.17%"
"2004- 08- 23","4,206.00","4,206.00","4,206.00","4,206.00","","0.26%"
"2004- 08- 20","4,195.00","4,195.00","4,195.00","4,195.00","","0.05%"
"2004- 08- 19","4,193.00","4,193.00","4,193.00","4,193.00","","0.12%"
