"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 08- 28","93.02","100.67","105.48","91.81","630.48K","-7.89%"
"2022- 08- 21","100.99","95.95","102.47","92.36","894.13K","4.41%"
"2022- 08- 14","96.72","97.72","98.17","91.51","1.02M","-1.46%"
"2022- 08- 07","98.15","94.51","100.38","93.01","1.08M","3.40%"
"2022- 07- 31","94.92","103.92","104.43","92.78","1.28M","-13.72%"
"2022- 07- 24","110.01","103.85","110.67","101.64","401.33K","6.60%"
"2022- 07- 17","103.20","100.82","107.61","99.46","992.54K","2.02%"
"2022- 07- 10","101.16","107.00","107.70","94.50","1.25M","-5.48%"
"2022- 07- 03","107.02","111.65","114.75","98.50","1.40M","-4.13%"
"2022- 06- 26","111.63","112.92","120.41","108.03","480.74K","-1.32%"
"2022- 06- 19","113.12","113.88","116.25","107.03","988.78K","0.00%"
"2022- 06- 12","113.12","121.94","125.19","111.72","1.38M","-7.29%"
"2022- 06- 05","122.01","121.55","124.40","118.55","1.25M","1.91%"
"2022- 05- 29","119.72","119.28","125.28","112.45","654.69K","0.24%"
"2022- 05- 22","119.43","112.85","119.72","111.70","745.30K","6.11%"
"2022- 05- 15","112.55","111.67","115.69","105.70","1.19M","0.90%"
"2022- 05- 08","111.55","112.94","113.20","101.30","1.40M","-0.75%"
"2022- 05- 01","112.39","106.30","114.00","103.10","1.11M","2.79%"
"2022- 04- 24","109.34","105.49","110.30","99.48","446.95K","2.52%"
"2022- 04- 17","106.65","112.32","114.84","104.65","926.98K","-4.52%"
"2022- 04- 10","111.70","103.21","112.39","97.57","970.07K","8.68%"
"2022- 04- 03","102.78","104.08","109.90","98.41","1.22M","-1.54%"
"2022- 03- 27","104.39","119.90","119.90","102.35","564.13K","-13.48%"
"2022- 03- 20","120.65","107.50","123.74","107.06","936.80K","11.79%"
"2022- 03- 13","107.93","113.15","113.15","96.93","1.20M","-4.21%"
"2022- 03- 06","112.67","122.79","139.13","105.60","2.05M","-4.61%"
"2022- 02- 27","118.11","101.98","119.84","98.30","1.79M","20.61%"
"2022- 02- 20","97.93","94.29","105.79","92.57","1.01M","4.69%"
"2022- 02- 13","93.54","95.20","96.78","90.12","1.84M","-0.95%"
"2022- 02- 06","94.44","92.75","95.66","89.93","1.80M","1.25%"
"2022- 01- 30","93.27","90.80","93.70","87.72","1.23M","3.60%"
"2022- 01- 23","90.03","87.93","91.70","85.04","1.06M","2.43%"
"2022- 01- 16","87.89","86.15","89.50","85.54","1.42M","2.13%"
"2022- 01- 09","86.06","81.76","86.50","80.50","1.50M","5.27%"
"2022- 01- 02","81.75","78.11","83.00","77.04","1.46M","5.10%"
"2021- 12- 26","77.78","76.32","80.17","75.75","365.28K","2.15%"
"2021- 12- 19","76.14","72.82","77.00","69.28","906.32K","3.56%"
"2021- 12- 12","73.52","75.37","76.39","72.50","1.23M","-2.17%"
"2021- 12- 05","75.15","70.24","76.70","70.24","1.39M","7.54%"
"2021- 11- 28","69.88","73.88","77.02","65.72","1.43M","-3.91%"
"2021- 11- 21","72.72","78.58","83.00","72.14","1.20M","-7.82%"
"2021- 11- 14","78.89","81.92","83.14","78.05","1.81M","-3.99%"
"2021- 11- 07","82.17","82.58","85.50","81.26","1.61M","-0.69%"
"2021- 10- 31","82.74","83.63","85.23","80.20","1.85M","-1.94%"
"2021- 10- 24","84.38","85.65","86.70","82.32","807.77K","-1.34%"
"2021- 10- 17","85.53","84.95","86.10","83.36","1.76M","0.79%"
"2021- 10- 10","84.86","82.65","85.10","82.20","1.59M","3.00%"
"2021- 10- 03","82.39","79.49","83.47","78.75","1.86M","3.92%"
"2021- 09- 26","79.28","78.25","80.75","77.50","764.30K","1.52%"
"2021- 09- 19","78.09","75.33","78.24","73.26","1.22M","3.65%"
"2021- 09- 12","75.34","72.88","76.13","72.69","1.30M","3.32%"
"2021- 09- 05","72.92","72.57","73.20","70.88","1.34M","0.43%"
"2021- 08- 29","72.61","73.25","73.69","70.42","830.58K","-0.12%"
"2021- 08- 22","72.70","64.97","72.76","64.60","1.09M","11.54%"
"2021- 08- 15","65.18","70.05","70.45","64.94","1.45M","-7.66%"
"2021- 08- 08","70.59","70.26","71.90","67.60","1.35M","-0.16%"
"2021- 08- 01","70.70","75.39","75.39","69.75","1.54M","-7.38%"
"2021- 07- 25","76.33","74.12","76.38","72.75","596.86K","3.01%"
"2021- 07- 18","74.10","72.86","74.22","67.44","1.57M","0.69%"
"2021- 07- 11","73.59","75.79","76.72","72.34","1.53M","-2.59%"
"2021- 07- 04","75.55","76.23","77.84","72.11","1.52M","-0.81%"
"2021- 06- 27","76.17","75.99","76.74","73.90","893.49K","-0.01%"
