,Dow Jones,S&P500,S&P500_return,GDP,CPI,Inflation,BDI,BDI_return,BDI_vol,30_yield,3m_yield,7_yield,cond_vol
1994-10-28,3930.66,473.7699890136719,0.016858241676905687,7474.951336956521,87.45161290322581,3.5641112677419358,1848.0,-0.012369074072460119,0.014819137549386135,796.0,516.0,765.0,0.0350680642126911
1994-10-31,3930.66,473.7699890136719,-0.0030016995384911736,7474.951336956521,87.45161290322581,3.5641112677419358,1848.0,-0.012369074072460119,0.014819137549386135,796.0,516.0,765.0,0.0350680642126911
1994-11-01,3930.66,473.7699890136719,-0.008354891110470395,7474.951336956521,87.45161290322581,3.5641112677419358,1848.0,-0.012369074072460119,0.014819137549386135,796.0,516.0,765.0,0.0350680642126911
1994-11-02,3930.66,473.7699890136719,-0.004085880808031748,7474.951336956521,87.45161290322581,3.5641112677419358,1848.0,-0.012369074072460119,0.014819137549386135,796.0,516.0,765.0,0.0350680642126911
1994-11-03,3930.66,473.7699890136719,0.002996500340132242,7474.951336956521,87.45161290322581,3.5641112677419358,1848.0,-0.012369074072460119,0.014819137549386135,796.0,516.0,765.0,0.0350680642126911
1994-11-04,3807.52,462.2799987792969,-0.012105212091742515,7480.049239130434,87.38000000000001,3.6071859600000002,1832.0,-0.008695706967553932,0.00259746278966691,816.0,533.0,788.0,0.035366484874275
1994-11-07,3807.52,462.2799987792969,0.001707480913491318,7480.049239130434,87.38000000000001,3.6071859600000002,1832.0,-0.008695706967553932,0.00259746278966691,816.0,533.0,788.0,0.035366484874275
1994-11-08,3807.52,462.2799987792969,0.005556019480031296,7480.049239130434,87.38000000000001,3.6071859600000002,1832.0,-0.008695706967553932,0.00259746278966691,816.0,533.0,788.0,0.035366484874275
1994-11-09,3807.52,462.2799987792969,-0.0005370281065164162,7480.049239130434,87.38000000000001,3.6071859600000002,1832.0,-0.008695706967553932,0.00259746278966691,816.0,533.0,788.0,0.035366484874275
1994-11-10,3807.52,462.2799987792969,-0.0022156000146548982,7480.049239130434,87.38000000000001,3.6071859600000002,1832.0,-0.008695706967553932,0.00259746278966691,816.0,533.0,788.0,0.035366484874275
1994-11-11,3801.46,462.3500061035156,-0.004359444514258146,7485.147141304347,87.33333333333334,3.6849729,1855.0,0.01247642980745987,0.014970961485821317,815.0,538.0,784.0,0.0372739122679982
1994-11-14,3801.46,462.3500061035156,0.007949292462189133,7485.147141304347,87.33333333333334,3.6849729,1855.0,0.01247642980745987,0.014970961485821317,815.0,538.0,784.0,0.0372739122679982
1994-11-15,3801.46,462.3500061035156,-0.0021695686765946134,7485.147141304347,87.33333333333334,3.6849729,1855.0,0.01247642980745987,0.014970961485821317,815.0,538.0,784.0,0.0372739122679982
1994-11-16,3801.46,462.3500061035156,0.0012679233241311401,7485.147141304347,87.33333333333334,3.6849729,1855.0,0.01247642980745987,0.014970961485821317,815.0,538.0,784.0,0.0372739122679982
1994-11-17,3801.46,462.3500061035156,-0.004412426120819043,7485.147141304347,87.33333333333334,3.6849729,1855.0,0.01247642980745987,0.014970961485821317,815.0,538.0,784.0,0.0372739122679982
1994-11-18,3815.26,461.4700012207031,-0.004540365155531815,7490.24504347826,87.28666666666668,3.7627598399999997,1906.0,0.027122109172611965,0.010356059194182797,814.0,550.0,791.0,0.036243725399772
1994-11-21,3815.26,461.4700012207031,-0.0068930841784760315,7490.24504347826,87.28666666666668,3.7627598399999997,1906.0,0.027122109172611965,0.010356059194182797,814.0,550.0,791.0,0.036243725399772
1994-11-22,3815.26,461.4700012207031,-0.018076410248980043,7490.24504347826,87.28666666666668,3.7627598399999997,1906.0,0.027122109172611965,0.010356059194182797,814.0,550.0,791.0,0.036243725399772
1994-11-23,3815.26,461.4700012207031,-0.0003555558004224746,7490.24504347826,87.28666666666668,3.7627598399999997,1906.0,0.027122109172611965,0.010356059194182797,814.0,550.0,791.0,0.036243725399772
1994-11-25,3708.27,452.2900085449219,0.005231587082197833,7495.3429456521735,87.24000000000001,3.84054678,1950.0,0.022822567343644976,0.0030402351832571946,794.0,545.0,771.0,0.0386836858665536
1994-11-28,3708.27,452.2900085449219,0.004125981013535734,7495.3429456521735,87.24000000000001,3.84054678,1950.0,0.022822567343644976,0.0030402351832571946,794.0,545.0,771.0,0.0386836858665536
1994-11-29,3708.27,452.2900085449219,0.002221438118156352,7495.3429456521735,87.24000000000001,3.84054678,1950.0,0.022822567343644976,0.0030402351832571946,794.0,545.0,771.0,0.0386836858665536
1994-11-30,3708.27,452.2900085449219,-0.003256854232125555,7495.3429456521735,87.24000000000001,3.84054678,1950.0,0.022822567343644976,0.0030402351832571946,794.0,545.0,771.0,0.0386836858665536
1994-12-01,3708.27,452.2900085449219,-0.010569422752728779,7495.3429456521735,87.24000000000001,3.84054678,1950.0,0.022822567343644976,0.0030402351832571946,794.0,545.0,771.0,0.0386836858665536
1994-12-02,3745.62,453.29998779296875,0.009709402958297047,7500.440847826087,87.20322580645161,3.9005422322580645,2027.0,0.03872749489420746,0.011246482125283291,792.0,579.0,777.0,0.0358955061236645
1994-12-05,3745.62,453.29998779296875,4.416300403941245e-05,7500.440847826087,87.20322580645161,3.9005422322580645,2027.0,0.03872749489420746,0.011246482125283291,792.0,579.0,777.0,0.0358955061236645
