,return,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,30_yield,3m_yield,7_yield
2019-05-17,-0.3994211843767558,1.005894850422781,0.7982593214770732,0.9382873030692377,0.24416762240165374,-0.15016504087713273,-0.6122783105748266,-0.8300973111957,0.48952486669344847,-0.46081400598954975
2019-05-24,-0.37677542696099436,0.9847047756149837,0.7672625252360449,0.9434495347379023,0.2192348000528866,-0.3535743098227426,-0.5969878984057135,-0.8914508763177831,0.46643005141605076,-0.500317403099585
2019-05-31,-0.32894277820397966,0.8931221983967682,0.6987305584117675,0.9486117664065667,0.1943019777041208,-0.5569835787683531,-0.5755813213689552,-1.040452391614271,0.46643005141605076,-0.6504303121177185
2019-06-07,-0.25495768133337404,1.0320320226012272,0.8110489225228598,0.9537739980752313,0.1946486621455558,-0.542716766094451,-0.6025943828677216,-1.0492171866317113,0.42601412468060473,-0.6978343886497608
2019-06-14,-0.2178415207245546,1.0445896283553895,0.8236809315181405,0.9589362297438951,0.19920859771869115,-0.4921706064839632,-0.524103600399608,-1.0316875965968304,0.37982449412580926,-0.7057350680717678
2019-06-21,-0.1780510305971177,1.1194007238335117,0.8824702276734128,0.9640984614125596,0.20376853329182718,-0.44162444687347585,-0.4654903537513414,-1.0316875965968304,0.32786115975166435,-0.7294371063377889
2019-06-28,-0.1480633644642098,1.1052388046221886,0.8744131362533618,0.9692606930812242,0.20832846886496253,-0.39107828726298816,-0.2687537171754203,-1.0930411617189135,0.3336348635710138,-0.7768411828698311
2019-07-05,-0.20142557854916188,1.1435234520746462,0.9194681834618241,0.9734349529635129,0.20550466942328238,-0.3761394000520412,-0.20504366647078262,-1.0755115716840327,0.3971456055838576,-0.7294371063377889
2019-07-12,-0.18454898925363158,1.192236369104184,0.9411021578786822,0.9768682340060189,0.19714306872049045,-0.38790596714074954,-0.04959114275146671,-0.9878636215096281,0.3451822712097127,-0.6899337092277537
2019-07-19,-0.20044262369617127,1.1711033922579697,0.9066880786371585,0.9803015150485247,0.1887814680176992,-0.39967253422945787,-0.16834667726491132,-1.0492171866317113,0.2989926406549172,-0.7452384651818029
2019-07-26,-0.2993563625902428,1.1756489470532585,0.9522988808816945,0.9837347960910322,0.18041986731490728,-0.41143910131816586,-0.2442890577048394,-1.0316875965968304,0.3336348635710138,-0.7136357474937748
2019-08-02,-0.26764186878124546,1.0915782333662283,0.8654206670529053,0.9871680771335389,0.17231725252900096,-0.42502630528313806,-0.26467627393032345,-1.2069834969456394,0.2989926406549172,-0.8716493359339155
2019-08-09,-0.0784990851450288,1.068099365878879,0.8530106887514507,0.990601358176044,0.16576855324440548,-0.4495373305056929,-0.09138493601370902,-1.3209258321723654,0.2643504177388206,-0.9506561301539859
2019-08-16,-0.016906898260647903,1.0203942510818345,0.8252552693196786,0.9940346392185515,0.15921985395981067,-0.4740483557282474,-0.05061050356274092,-1.540045707608377,0.189292268087278,-1.0770670009060983
2019-08-23,0.01162999667931692,0.9898398784688937,0.7867571366946731,0.9974679202610574,0.1526711546752159,-0.4985593809508019,0.05642238162105036,-1.5312809125909363,0.24702930628077233,-1.1007690391721194
2019-08-30,-0.0539111306536794,1.0818655451532144,0.860243643838512,1.000901201303564,0.14612245539062108,-0.5230704061733563,0.09923553569456686,-1.5838696826955792,0.2585767139194712,-1.1086697185941266
2019-09-06,0.1260817335227123,1.1287093163102817,0.9086327690624106,1.0043344823460716,0.13806171257930083,-0.5093063958047517,0.022783474849001673,-1.5312809125909363,0.24125560246142289,-1.0691663214840914
2019-09-13,0.04584784411178757,1.1788659297668362,0.9351934734369762,1.0077677633885775,0.12939615235729024,-0.48023237119968404,-0.06946867857131367,-1.2245130869805205,0.24125560246142289,-0.8084439005578592
2019-09-20,0.5877039158252008,1.145062543876503,0.9210056668813933,1.0112010444310842,0.12073059213527965,-0.45115834659461646,-0.20912110971587944,-1.3998089873293296,0.21238708336467574,-0.9269540918879647
2019-09-27,0.6072655165306927,1.1314175236913802,0.8929630998109664,1.0146343254735901,0.11206503191326905,-0.4220843219895489,-0.25499234622321854,-1.4348681673990913,0.14887634135183198,-0.9743581684200069
2019-10-04,0.2908457639890692,1.1021204667609392,0.883905739766184,1.0152112722186095,0.11149355700086007,-0.40960265732622386,-0.17497252253819365,-1.540045707608377,0.09691300697768708,-1.1244710774381406
