,return,Inflation
2013-01-11,-0.49704483995053106,-1.0552412966740996
2013-01-18,-0.502917977707026,-1.0391554742420148
2013-01-25,-0.5226738212115336,-1.0230696518099296
2013-02-01,-0.5472652163461048,-1.0069838293778448
2013-02-08,-0.5388084147655691,-1.1471334547391707
2013-02-15,-0.5340759977453233,-1.2872830801004966
2013-02-22,-0.512288513816656,-1.4274327054618228
2013-03-01,-0.5052824237784315,-1.5675823308231487
2013-03-08,-0.503252230125724,-1.4070218043644354
2013-03-15,-0.5092237300478321,-1.2464612779057211
2013-03-22,-0.5285690368196657,-1.0859007514470078
2013-03-29,-0.5217777431148423,-0.9253402249882937
2013-04-05,-0.508516728841589,-0.9149808377257218
2013-04-12,-0.4831480447388769,-1.017272304860256
2013-04-19,-0.4131237259592576,-1.1195637719947902
2013-04-26,-0.3960485545841477,-1.2218552391293245
2013-05-03,-0.3432946553347023,-1.2771160321593236
2013-05-10,-0.31892057874382423,-1.2148001399279862
2013-05-17,-0.388675898436055,-1.152484247696648
2013-05-24,-0.41492188904221744,-1.09016835546531
2013-05-31,-0.45890085317223583,-1.0278524632339723
2013-06-07,-0.49738966686228653,-1.1292777269709013
2013-06-14,-0.4942282104223972,-1.2579931833692084
2013-06-21,-0.4849814844190828,-1.3867086397675152
2013-06-28,-0.46112777275828626,-1.515424096165822
2013-07-05,-0.45732438377789164,-1.4091147906210868
2013-07-12,-0.42133801394220755,-1.1265369136190697
2013-07-19,-0.4104316488627176,-0.8439590366170527
2013-07-26,-0.44957982652037537,-0.5613811596150363
2013-08-02,-0.447481432786494,-0.2985911019274263
2013-08-09,-0.45749273197870705,-0.15452796012626174
2013-08-16,-0.4583952919960578,-0.010464818325096508
2013-08-23,-0.4554594919614768,0.13359832347606804
2013-08-30,-0.44064777351519957,0.27766146527723395
2013-09-06,-0.44736367731383286,0.1489780152653884
2013-09-13,-0.44535869725793303,-0.08880407147165942
2013-09-20,-0.41605683598928894,-0.32658615820870723
2013-09-27,-0.4308105012677672,-0.5643682449457554
2013-10-04,-0.4568940166273189,-0.7162430457947897
2013-10-11,-0.4706293861180356,-0.7535747987931392
2013-10-18,-0.48775345645795465,-0.790906551791489
2013-10-25,-0.49032704557152323,-0.8282383047898386
2013-11-01,-0.48570956108266755,-0.8655700577881881
2013-11-08,-0.4817275739682462,-0.6915408225362364
2013-11-15,-0.48054081702782486,-0.5175115872842846
2013-11-22,-0.49406259669326874,-0.3434823520323329
