,return,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,30_yield,3m_yield,7_yield
2001-11-30,1.9028057766985969,-0.8648149478439865,-0.7878492316294275,-1.325976312149261,-1.7380539739932594,1.0220627443144168,-0.7106460043450112,1.203476596256233,0.04455172027210908,1.138009061451482
2001-12-07,1.9373290483409629,-0.8411410903081745,-0.7701618987781892,-1.323986979433605,-1.7473863946683912,0.9267343655125863,-0.7116832513012399,1.4811910629274245,-0.003099471628575173,1.447448682768476
2001-12-14,1.369445328537527,-0.8696490083948817,-0.8031919070385215,-1.321997646717949,-1.7550449908025452,0.7776942587431608,-0.7122018747793541,1.4727754730282976,0.018078835882840052,1.469037493558034
2001-12-21,0.918351764227154,-0.8428302003051712,-0.7827474466135997,-1.3200083140022936,-1.7627035869366987,0.6286541519737359,-0.7085715104325542,1.3549572144405193,0.007489682127132439,1.3826822503998029
2001-12-28,0.5586179153004576,-0.830670283081749,-0.7676204508403146,-1.3180189812866372,-1.7703621830708527,0.4796140452043104,-0.6981990408702684,1.4306975235326624,0.012784259004986245,1.4114673314525465
2002-01-04,0.7425127039397725,-0.815986270891143,-0.7568449405430002,-1.3161458201164906,-1.7774548730867188,0.373529869220689,-0.6701933730520969,1.4559442932300435,0.012784259004986245,1.4402524125052902
2002-01-11,0.9198693073539647,-0.8485494884748891,-0.7820816330457313,-1.3144275543403563,-1.783793021611536,0.3247202676181369,-0.6629326443584969,1.2876324952475031,-0.06133981728496704,1.2099717640833412
2002-01-18,1.036401821853351,-0.8743502848029534,-0.7989811170362286,-1.3127092885642222,-1.7901311701363531,0.27591066601558545,-0.6836775834830684,1.2792169053483762,-0.04016150977355182,1.2387568451360846
2002-01-25,1.0156556306507891,-0.8661882469067006,-0.793635490393929,-1.3109910227880874,-1.7964693186611702,0.22710106441303465,-0.691975559132897,1.3717883942387734,0.012784259004986245,1.3610934396102452
2002-02-01,0.7412384318133085,-0.8581518156320374,-0.8040265780707306,-1.3092727570119533,-1.8028074671859868,0.17829146281048322,-0.6847148304392969,1.3128792649448842,0.03396256651640147,1.3035232775047578
2002-02-08,0.3084923193148648,-0.8776531408239933,-0.8283910502203686,-1.30755449123582,-1.7963750009747887,0.12894735532996923,-0.6676002556615255,1.3044636750457572,0.018078835882840052,1.2387568451360846
2002-02-15,0.6466718393156673,-0.8586566346254739,-0.8209259475815911,-1.305836225459685,-1.7899425347635907,0.07960324784945459,-0.639594587843354,1.2876324952475031,0.023373412760693858,1.217168034346527
2002-02-22,0.6523718586733038,-0.8508678278333734,-0.8343743284398738,-1.3041179596835506,-1.7835100685523926,0.030259140368940618,-0.627147624368611,1.3802039841379004,0.03396256651640147,1.224364304609713
2002-03-01,0.7548740923731643,-0.8029327522741251,-0.7950422161714336,-1.3023996939074165,-1.7770776023411945,-0.019084967111574026,-0.6178124017625539,1.4811910629274245,0.039257143394255276,1.3323083585575015
2002-03-08,0.7777612082133849,-0.7785734414604951,-0.7645349956681707,-1.3006814281312822,-1.7686267376414386,0.17483501696719259,-0.6064026852440396,1.674749630607346,0.060435450905670506,1.5841778177690085
2002-03-15,0.041714025663170236,-0.7744176566661843,-0.7628000567718424,-1.2989631623551479,-1.7601758729416823,0.3687550010459572,-0.6001792035066681,1.699996400304727,0.08690833529493953,1.6057666285585661
2002-03-22,-0.053481697166983554,-0.7958975852115627,-0.7791744226681491,-1.2972448965790138,-1.7517250082419265,0.5626749851247231,-0.601735073941011,1.725243170002108,0.07631918153923192,1.6633367906640533
2002-03-29,-0.28457866130060044,-0.79873629485949,-0.780402903651092,-1.2955266308028794,-1.743274143542171,0.7565949692034885,-0.6001792035066681,1.742074349800362,0.04984629714996289,1.6705330609272393
2002-04-05,0.06795763101861922,-0.814562729179793,-0.8035295074875661,-1.293888090355143,-1.7377810814873293,0.8458525867535966,-0.590843980900611,1.6410872710108377,0.03396256651640147,1.4906263043475916
2002-04-12,0.404705392228025,-0.8242308502815834,-0.8145206974206893,-1.292309343903707,-1.7345063714161744,0.8566134294072114,-0.6027723208972395,1.6410872710108377,0.007489682127132439,1.454644953031662
2002-04-19,0.5718885048637595,-0.8163008855718866,-0.8012411740267475,-1.29073059745227,-1.7312316613450185,0.8673742720608255,-0.6224800130655824,1.649502860909965,0.018078835882840052,1.461841223294848
2002-04-26,0.5119887613181752,-0.8577379119075609,-0.8470536350978572,-1.2891518510008328,-1.7279569512738635,0.8781351147144403,-0.6359642234965539,1.5905937316160756,0.028667989638547664,1.3610934396102452
2002-05-03,0.18458359057997017,-0.8462646442154956,-0.8497638260204357,-1.287573104549396,-1.7251651477569798,0.8591079550820282,-0.6245545069780396,1.5232690124230597,0.03396256651640147,1.3538971693470592
2002-05-10,-0.32049834478376055,-0.854244851573828,-0.8670572344413036,-1.2859943580979596,-1.7235806106257756,0.7656107897345508,-0.627147624368611,1.5821781417169487,0.039257143394255276,1.3826822503998029
2002-05-17,-0.4470170651477107,-0.8048204403585877,-0.8186658905910722,-1.2844156116465224,-1.7219960734945712,0.6721136243870727,-0.6261103774123825,1.6831652205064729,0.03396256651640147,1.469037493558034
2002-05-24,-0.34486389274025225,-0.8345856209147308,-0.8400200062103341,-1.2828368651950857,-1.720411536363367,0.5786164590395952,-0.6224800130655824,1.6326716811117108,0.023373412760693858,1.368289709873431
2002-05-31,-0.2745847868594167,-0.855999755515467,-0.8556627327475889,-1.2812581187436494,-1.7188269992321625,0.48511929369211715,-0.641669081755811,1.6074249114143297,0.023373412760693858,1.296327007241572
2002-06-07,-0.21103344015831885,-0.8961436317755368,-0.8928096577080042,-1.2796793722922124,-1.715559834575918,0.4736100846480639,-0.6556719156648969,1.6579184508090918,0.023373412760693858,1.3035232775047578
2002-06-14,-0.25906759114729855,-0.9099555751362486,-0.9118098430345375,-1.2781006258407752,-1.712012231998833,0.4757655349879144,-0.6478925634931826,1.4727754730282976,0.007489682127132439,1.1092239803987385
2002-06-21,-0.28327847437247505,-0.9363233956417748,-0.9288124731778287,-1.2765218793893385,-1.7084646294217478,0.47792098532776556,-0.641669081755811,1.4475287033309165,0.012784259004986245,1.0804388993459948
2002-06-28,-0.25501316389148654,-0.9375830506182888,-0.9281747643608049,-1.2749431329379017,-1.7049170268446627,0.4800764356676167,-0.6421877052339254,1.5653469619186946,0.002195105249278633,1.1164202506619243
2002-07-05,-0.5769982413049046,-0.9212852924036399,-0.9289156193306227,-1.273551467481024,-1.7021893593545183,0.4391733609579971,-0.6421877052339254,1.5653469619186946,0.012784259004986245,1.1739904127674115
2002-07-12,-0.5411830413993108,-1.004421324600018,-0.9923495874617871,-1.272300112770066,-1.7000766431795797,0.3659763924612741,-0.654116045230554,1.4391131134317894,0.007489682127132439,0.9581023048718342
2002-07-19,-0.7835273824206738,-1.0840044837857161,-1.06141045870297,-1.2710487580591077,-1.6979639270046407,0.2927794239645518,-0.6639698913147255,1.4391131134317894,0.007489682127132439,0.9221209535559047
2002-07-26,-0.6264975080228924,-1.0546807207854454,-1.0566369440457843,-1.2697974033481494,-1.6958512108297015,0.2195824554678295,-0.6593022800116969,1.4138663437344083,-0.003099471628575173,0.7638030077658148
2002-08-02,-0.5046717954968212,-1.0488501810366053,-1.0459458624806404,-1.268546048637191,-1.6935121322074478,0.15248246987454517,-0.6515229278399826,1.3465416245413924,-0.03486693289569801,0.6558589538180261
2002-08-09,-0.4666916788618584,-0.9971337480407373,-1.0043067565705763,-1.267294693926233,-1.6898148789013048,0.1219643817018913,-0.6375200939308968,1.270801315449249,-0.04016150977355182,0.6342701430284684
2002-08-16,-0.3770104647230609,-0.9932327652502229,-0.985428492057279,-1.2660433392152743,-1.686117625595161,0.09144629352923811,-0.6333711061059825,1.178229826558852,-0.04016150977355182,0.7350179267130711
2002-08-23,-0.576201934690505,-0.9818803191655915,-0.9740903143448901,-1.2647919845043158,-1.6824203722890183,0.060928205356584254,-0.6255917539342682,1.186645416457979,-0.024277779139990397,0.6558589538180261
2002-08-30,-0.6209957769865595,-1.0069370457924292,-0.9973387817547817,-1.2635406297933574,-1.6787231189828749,0.0304101171839304,-0.6001792035066681,1.0688271578702007,-0.003099471628575173,0.5838962511861671
2002-09-06,-0.5633786831480825,-1.0352045169178075,-1.0181114552985273,-1.2622892750823993,-1.6725987572138552,0.012765214915739743,-0.5519472200420394,1.0351647982736927,-0.01898320226213659,0.4975410080279361
2002-09-13,-0.558337694669786,-1.0489028161923188,-1.0219658701913334,-1.2610379203714412,-1.665503552059685,0.00026958700933317183,-0.5270532930925537,0.9510088992824225,-0.003099471628575173,0.41838203513289113
2002-09-20,-0.4820290826406087,-1.0879808305491845,-1.063623693522021,-1.2597865656604827,-1.6584083469055155,-0.012226040897072734,-0.4648184757188392,0.9341777194841685,-0.024277779139990397,0.3248305217114743
2002-09-27,-0.4559385116891122,-1.1220226175070724,-1.0805231775125181,-1.2585352109495247,-1.6513131417513451,-0.02472166880347864,-0.46066948789392487,0.9005153598876604,-0.03486693289569801,0.2456715488164293
2002-10-04,-0.7055858431495008,-1.142723784998595,-1.1056472792924161,-1.257039224062377,-1.6447687518856413,-0.028204802232363508,-0.4663743461531821,0.9762556689798035,-0.045456086651405624,0.2456715488164293
2002-10-11,-0.8967521011319576,-1.104217579833347,-1.0730675194437802,-1.2552170609403095,-1.6389587824045593,-0.019671276357884324,-0.45963224093769633,1.0267492083745657,-0.06133981728496704,0.346419332501032
2002-10-18,-0.9895228859162809,-1.047741254005999,-1.027048823306901,-1.253394897818242,-1.633148812923477,-0.01113775048340647,-0.4404431722474677,1.245554545751868,-0.013688625384282786,0.5479148998702374
2002-10-25,-0.6192031828921427,-1.0331960072259112,-1.0146133582753891,-1.2515727346961747,-1.6273388434423952,-0.002604224608928616,-0.42229135051346767,1.237138955852741,-0.029572356017844206,0.5191298188174939
2002-11-01,-0.4228869406327437,-1.0243855999115477,-1.0115091856826217,-1.249750571574108,-1.6215288739613125,0.005929301265549238,-0.4129561279074105,1.228723365953614,-0.14075847045277415,0.4111857648697052
2002-11-08,-0.2335956100985214,-1.022054101764135,-1.0173424383380465,-1.2479284084520401,-1.6155252388308612,-0.021804394853810236,-0.4129561279074105,1.0183336184754386,-0.25194458488770405,0.3392230622378461
2002-11-15,-0.10098351963526118,-1.0170346219147024,-1.00319075183083,-1.2461062453299727,-1.6095216037004094,-0.04953809097317037,-0.40621402269192475,1.0772427477693278,-0.25194458488770405,0.4759521972383784
2002-11-22,-0.05570698113933354,-0.9900291982729159,-0.9837592072326791,-1.2442840822079053,-1.6035179685699579,-0.07727178709252984,-0.35383305140238175,1.161398646760598,-0.24665000800985026,0.6270738727652825
2002-11-29,-0.10667414907181963,-0.979113384730001,-0.9783573710886905,-1.2424619190858384,-1.597514333439506,-0.10500548321189064,-0.3268646305404388,1.1698142366597248,-0.25194458488770405,0.6558589538180261
2002-12-06,-0.17696406553293867,-1.0090580033169867,-1.0009400249307137,-1.240639755963771,-1.5775013779585667,-0.08207401134569252,-0.2869306227256387,1.1024895174667089,-0.2572391617655579,0.5479148998702374
2002-12-13,-0.1916199436988179,-1.0344257558639514,-1.0222753658895336,-1.238817592841704,-1.551884694337432,-0.03887647228527147,-0.2620366957761529,1.1024895174667089,-0.2572391617655579,0.511933548554308
2002-12-20,-0.22011152319002797,-1.0251416321481637,-1.0163858464926014,-1.2369954297196362,-1.5262680107162967,0.0043210667751492435,-0.26151807229803864,1.0772427477693278,-0.2572391617655579,0.4039894946065193
2002-12-27,-0.02562541722458085,-1.0499686780955229,-1.0354797906417077,-1.2351732665975692,-1.5006513270951618,0.04751860583556995,-0.2609994488199244,1.0267492083745657,-0.2837120461548269,0.28165290013235883
2003-01-03,0.1568882315099148,-1.0143310889166763,-1.0043536359818628,-1.2332170323101195,-1.4717146609134084,0.0810311944065464,-0.24958973230141004,1.12773628716409,-0.25194458488770405,0.4543633864488207
2003-01-10,0.3572919753645493,-0.9924157240831203,-0.9865538841272463,-1.2309256201092165,-1.434478038330109,0.0903314067539115,-0.26981604794786723,1.178229826558852,-0.2625337386434117,0.5551111701334234
2003-01-17,0.3315736261866522,-1.016119487957406,-1.0107401687221411,-1.2286342079083128,-1.3972414157468096,0.09963161910127727,-0.30560106793775305,1.0856583376684548,-0.2731228923991193,0.4543633864488207
2003-01-24,0.2274547813749964,-1.0706363504879548,-1.0486092312317508,-1.2263427957074093,-1.3600047931635102,0.10893183144864303,-0.36939175574581035,1.0183336184754386,-0.2837120461548269,0.36800814329058973
