,return,S&P500_return,sentiment
1987-11-13,-0.8726944105171066,-1.1099482048874634,2.0
1987-11-20,-0.9052956891010857,0.7257929748127695,2.0
1987-11-27,-0.678825161549197,-1.4694529293366008,0.0
1987-12-04,-0.6824193446468407,-0.5603627822147037,0.0
1987-12-11,-0.6116049960627735,0.6675968166711812,0.0
1987-12-18,-0.10166086386612504,2.3085699809162077,0.0
1987-12-25,0.46743905702443833,-0.4422145266857958,1.0
1988-01-01,0.6237850754918914,-0.3193442107825701,1.0
1988-01-08,0.8269840800815281,-6.541482798218805,0.0
1988-01-15,0.7826508217359575,2.2776783337118847,2.0
1988-01-22,0.30876847125476725,1.2495628251455277,2.0
1988-01-29,-0.11555990696691637,1.3507832715899992,1.0
1988-02-05,-0.5108758930670874,-0.4882241945673472,0.0
1988-02-12,-0.7252992481043055,0.5818739949723142,1.0
1988-02-19,-0.8271887396341315,1.2978577934541453,0.0
1988-02-26,-0.7365660257813703,0.2858929345474564,0.0
1988-03-04,-0.5023318088472168,-0.2278363811685096,1.0
1988-03-11,-0.42963220506495364,0.3604506455166027,0.0
1988-03-18,-0.19364871243154005,-0.060615808408618944,0.0
1988-03-25,-0.10833547960827197,-1.750773772106851,0.0
1988-04-01,-0.20867147488832455,0.26859037393134827,1.0
1988-04-08,-0.3216941026937508,1.1088483412613954,0.0
1988-04-15,-0.214248132830844,-0.019177362385406294,1.0
1988-04-22,-0.29819960894838665,1.312651947854665,0.0
1988-04-29,-0.33901198748382677,-0.48055941351014,0.0
1988-05-06,-0.02105387310889026,-0.49811142638419204,1.0
1988-05-13,-0.3565418260535118,1.0405358316481004,1.0
1988-05-20,-0.46883639021547674,0.13915306026780289,1.0
1988-05-27,-0.49032231006233457,-0.4691513351042547,1.0
1988-06-03,-1.003322508163891,0.36526817015029905,1.0
1988-06-10,-0.9625528781906837,0.3376545723647173,2.0
1988-06-17,-0.7548338987060544,0.2867330262964664,2.0
1988-06-24,-0.7063306901982797,-0.378804981238258,0.0
1988-07-01,-0.5433412612578497,-0.612814788040559,0.0
1988-07-08,-0.34636983754648254,-0.630311608691064,0.0
1988-07-15,-0.018669402994317,0.5873559273034097,2.0
1988-07-22,0.46548075114048637,-1.134564080197593,2.0
1988-07-29,0.506520547005641,2.047149592642745,0.0
1988-08-05,0.4790930962408977,-0.293370751822179,2.0
1988-08-12,0.26866755400829145,-0.09712479257044421,1.0
1988-08-19,-0.39653655677472055,-0.30811406024615795,2.0
1988-08-26,-0.5755336887634172,0.15283886014316722,2.0
1988-09-02,-0.767886990988525,2.1537140929420513,0.0
1988-09-09,-0.822669839313888,0.3087223527924433,1.0
1988-09-16,-0.3717415298575592,0.8433011375078934,2.0
1988-09-23,-0.007588550368132871,0.17376829742709526,1.0
1988-09-30,0.2937634888877509,-0.2585255913719177,1.0
1988-10-07,0.38472325094308324,1.892261188836137,0.0
1988-10-14,0.3980225962019945,0.06819908623195838,1.0
1988-10-21,0.533219213448688,0.22965056919151794,0.0
1988-10-28,1.0581188857874986,0.39181654958223494,0.0
1988-11-04,0.9534006528338796,-0.9936226109987225,0.0
1988-11-11,0.7740238049908209,-2.0071739760925498,2.0
1988-11-18,0.48482844442122025,0.6283589946514627,0.0
1988-11-25,0.11261060261313403,-0.6400455383028293,0.0
1988-12-02,0.7458304149590217,-0.25861091523275775,2.0
1988-12-09,0.7729965722115304,0.1214397039415021,2.0
1988-12-16,0.7823214171641252,0.6524548210581744,2.0
1988-12-23,0.7741422099649611,0.3088320466184811,0.0
1988-12-30,0.39476444384767356,-0.5869984546388597,0.0
1989-01-06,0.41571788604991194,0.1925340986388108,1.0
1989-01-13,0.3686063566767041,0.20318779657314257,2.0
1989-01-20,0.05121280873070993,-0.11710016383801088,0.0
1989-01-27,-0.06146751467181825,0.6500531229858446,1.0
1989-02-03,-0.029153878233509404,0.014374786242670743,2.0
1989-02-10,-0.05785857459372795,-1.3036461129818593,0.0
1989-02-17,0.006943834596674728,0.5865525454798779,0.0
1989-02-24,-0.4401805910192074,-1.6057807607718726,2.0
1989-03-03,-0.6199228279360647,0.3671925446137659,1.0
1989-03-10,-0.5332837286681525,-0.35901557287961844,0.0
1989-03-17,-0.5293585941923784,-2.1459159901913663,2.0
1989-03-24,-0.28180181590690834,-0.5108227731260822,1.0
1989-03-31,-0.1274747597728163,0.7175269203078892,0.0
1989-04-07,0.06968604420628592,0.5605302089150604,1.0
1989-04-14,0.061608889119121935,1.5164678939857208,1.0
1989-04-21,0.27728911971495096,1.0062733879793655,0.0
1989-04-28,1.4643545691503588,-0.008306974944282014,1.0
1989-05-05,1.450509881600556,-0.07467393011357128,0.0
1989-05-12,1.5007604572913302,2.0373216690538327,2.0
1989-05-19,1.2681750530674123,0.924825026711262,2.0
1989-05-26,0.3596040318599548,0.6758744267203872,1.0
1989-06-02,0.5022982440685517,0.9930660980534416,1.0
1989-06-09,0.4045274443547315,-0.043402680760757276,0.0
1989-06-16,0.5101991081871987,0.34180378177848136,2.0
1989-06-23,0.3040916803880926,1.5976351181417383,1.0
1989-06-30,0.08937249784662318,-0.5220111136718426,2.0
1989-07-07,0.10848208459984313,0.940050983778779,1.0
1989-07-14,0.0813947849827304,0.5046565332195468,1.0
1989-07-21,-0.3388405490943843,0.6374883028750632,2.0
1989-07-28,-0.13928563249046513,0.01715295353617561,0.0
1989-08-04,-0.16663598708336264,-0.24771307153425634,2.0
1989-08-11,-0.3485325042511535,-0.9680697191373203,2.0
1989-08-18,-0.3711310527811982,0.39911868940183515,1.0
1989-08-25,-0.7435649078085801,-0.29117122251370386,1.0
1989-09-01,-0.8254291336760233,0.57481689547038,1.0
1989-09-08,-0.8622972119853541,0.0830221425394427,1.0
1989-09-15,-0.8773649735495034,0.4869689335083807,1.0
1989-09-22,-0.9338518729661663,0.33599130892769336,0.0
1989-09-29,-0.9165839676191424,0.12022318473191829,1.0
1989-10-06,-0.9134526770457468,0.4438474689723557,1.0
1989-10-13,-0.9425345564308918,-5.894532104968712,1.0
1989-10-20,-0.8764182157149454,-0.01829756437893341,2.0
1989-10-27,-0.9103841112253306,-0.819234885387742,1.0
1989-11-03,-0.9226342320529806,-0.26283651797317764,0.0
1989-11-10,-0.9202698700562791,0.6698672261115056,2.0
1989-11-17,-0.9742567076643547,0.25439123420414655,2.0
1989-11-24,-0.8883932173253122,0.532094274715451,0.0
1989-12-01,-0.7489567847485774,1.212109334984542,0.0
1989-12-08,-0.6908677108644641,0.2674046421961711,0.0
1989-12-15,-0.7053478461269646,-0.23583839427620254,1.0
1989-12-22,-0.44436162064421886,0.6827927929920873,2.0
1989-12-29,-0.42041807191592845,0.6945956681619238,0.0
1990-01-05,-0.14328382467728976,-0.9377643903533543,0.0
1990-01-12,0.3173850250583362,-2.349003398324723,1.0
1990-01-19,0.37207513839240397,0.23718441619509534,2.0
1990-01-26,0.7284611152646211,-0.10619195254112115,1.0
1990-02-02,1.0046219410361108,0.5739771372950635,1.0
1990-02-09,0.6962246859244975,0.15776282438862596,0.0
1990-02-16,0.5750749078650186,-0.6306781636922841,1.0
1990-02-23,0.08657121758376353,-0.46980681239910704,2.0
1990-03-02,-0.49057924129319674,0.7526918097161005,1.0
1990-03-09,-0.5348450691462546,-0.6678425846208692,1.0
1990-03-16,-0.5651900518309066,1.0236574523980837,1.0
1990-03-23,-0.5748428412813118,0.39641549409993687,0.0
1990-03-30,-0.6905228620226277,-0.2584939401278604,1.0
1990-04-06,-0.6746418384991199,-0.20385189109424512,1.0
1990-04-13,-0.21812529244452758,0.6293168154235014,0.0
1990-04-20,0.023956406881355977,-0.8465961310491057,1.0
1990-04-27,0.43866177526708233,-1.0963725561915576,1.0
1990-05-04,0.5924921494940163,0.7516408077933231,2.0
1990-05-11,0.45981840047988737,2.1595236456779694,0.0
1990-05-18,0.3285925351891845,0.018246294629538508,1.0
1990-05-25,0.2788621355059649,-1.0251040211634364,2.0
1990-06-01,1.0344528334121856,0.4690386767666343,0.0
1990-06-08,1.0825500841894922,-1.1699491963487212,1.0
1990-06-15,1.067044323993293,-0.023766956180702094,1.0
1990-06-22,1.0575445079713095,-1.335306213081775,1.0
1990-06-29,0.5454844313881361,0.07498804144299184,1.0
1990-07-06,0.3075312772221317,0.6870838820580709,1.0
1990-07-13,0.3503342758809907,0.44816304751570973,1.0
1990-07-20,0.3628207156468482,-0.9752584584138959,1.0
1990-07-27,0.1682217954458184,-0.6737474373735142,2.0
1990-08-03,0.527041599388485,-1.793982873148605,0.0
1990-08-10,2.676346157584585,-1.2430085488978857,2.0
1990-08-17,2.805849996689345,-1.3105263115175143,2.0
1990-08-24,2.8972996660187533,1.311265393395604,0.0
1990-08-31,3.347037255649738,1.0899434010254707,2.0
1990-09-07,1.8410855181795829,0.8226627713883643,1.0
1990-09-14,1.7143064010893614,-0.5588288304333989,1.0
1990-09-21,1.6872280455025772,-0.07409797353127692,0.0
1990-09-28,1.0843411714926634,1.5296882638662643,0.0
1990-10-05,1.3306659719873328,-0.38079898263213324,2.0
1990-10-12,1.4657391914313112,1.4005777860791564,2.0
1990-10-19,1.7706355403910168,2.000794590394097,2.0
1990-10-26,3.1178905737386993,-1.6773830329211765,1.0
1990-11-02,3.170522757405047,1.4247889550837705,1.0
1990-11-09,3.225362805433446,1.8080261176896824,0.0
1990-11-16,3.22335113474317,0.0029904096424494746,1.0
1990-11-23,1.9522303052695282,-0.30030320339102046,0.0
1990-11-30,1.7560092253854984,1.6622743268636189,1.0
1990-12-07,1.991170977373723,-0.3999904652748036,2.0
1990-12-14,1.70305893253868,-0.7403937790794175,1.0
1990-12-21,1.4061850631449824,0.43156016742704817,0.0
1990-12-28,1.1767487290261014,0.09535314311223639,0.0
1991-01-04,0.5766854096839202,-0.28950243118242613,1.0
1991-01-11,0.9270913867935113,0.18033819496052045,0.0
1991-01-18,3.1049907776879655,1.1734068005993532,2.0
1991-01-25,6.372946788229271,0.33119928726733383,2.0
1991-02-01,6.821220438813713,-0.26450083457452833,2.0
1991-02-08,6.66960363758674,0.7086944573106673,0.0
1991-02-15,4.984083883830839,1.200901223899427,2.0
1991-02-22,1.9421046536324393,0.14671349637271208,0.0
1991-03-01,1.0515893243086611,0.8307874831398802,2.0
1991-03-08,1.0930653876835266,-0.2640446623418184,0.0
1991-03-15,1.1241880861799818,-0.0039337432438198705,1.0
1991-03-22,0.8218097617661491,0.20163391329759084,0.0
1991-03-29,0.35087898219115,-0.058535414838407684,1.0
1991-04-05,0.13889570531453738,-1.1121752099886437,2.0
1991-04-12,-0.0855638307860037,0.6530897413852955,1.0
1991-04-19,-0.24526459519455826,-1.0514370511128615,0.0
1991-04-26,-0.4297569717076749,-0.08272994302903883,0.0
1991-05-03,-0.4676334841822814,0.042049684566584505,2.0
1991-05-10,-0.5349016648779684,-1.8661027637901497,0.0
1991-05-17,-0.5638508761959203,0.023613694425252022,1.0
1991-05-24,-0.7338281803562768,0.5988266065160045,0.0
1991-05-31,-0.7460833165883478,0.6606183791866744,0.0
1991-06-07,-0.7335211025529332,-1.0497220077619567,1.0
1991-06-14,-0.8012799302052461,1.1138375713037278,1.0
1991-06-21,-0.8333946746183398,0.5488532466161878,1.0
1991-06-28,-0.8747516002834654,-0.8343269720599956,0.0
1991-07-05,-0.9165377040494983,0.1602414554921885,1.0
1991-07-12,-0.9862141829783382,0.7790466029730536,1.0
1991-07-19,-0.9260517337390037,-0.30416278535368924,1.0
1991-07-26,-0.7667530421598004,-0.03365189033283701,0.0
1991-08-02,-0.7243821519592675,-0.011924253460671545,1.0
1991-08-09,-0.761452908778517,-0.5531528082352813,1.0
1991-08-16,-0.8690628619491012,-0.9260953043685456,0.0
1991-08-23,-0.45594291621584815,0.6459074718223595,1.0
1991-08-30,-0.40081799265189766,-0.27051225921409466,0.0
1991-09-06,-0.3648724696683418,-0.035889507219998555,0.0
1991-09-13,-0.34292724732685587,-0.9307404735100405,1.0
1991-09-20,-0.7494605803082711,0.05998588167865223,0.0
1991-09-27,-1.0485778963446497,-0.16835391935239993,1.0
1991-10-04,-1.110766814132214,-0.8081999491169084,1.0
1991-10-11,-1.1021518423999923,0.19327518665206003,1.0
1991-10-18,-1.0234076215933936,0.11114100195044906,0.0
1991-10-25,-0.8974038481867667,-0.23660411081119956,0.0
1991-11-01,-0.8521909604326148,-0.2943943655781073,0.0
1991-11-08,-0.8258820116446426,-0.2225121700367018,1.0
1991-11-15,-0.8195938945829735,-3.491262407013848,1.0
1991-11-22,-0.7828791613022416,-0.9901527708095843,1.0
1991-11-29,-0.5093241192026894,-0.35526455589614503,2.0
1991-12-06,-0.38691571955205095,0.3939469859201522,0.0
1991-12-13,-0.2627564904210756,0.6824173602403265,2.0
1991-12-20,-0.24354355087873342,1.0657329351489506,0.0
1991-12-27,-0.2901775249667488,0.34492883078011677,0.0
1992-01-03,-0.331118680205567,0.43593158133275167,1.0
1992-01-10,-0.285348188594312,-0.5867631722531752,2.0
1992-01-17,-0.15934603364117642,0.11804417501717733,0.0
1992-01-24,-0.2635876064079644,0.09009669128392443,2.0
1992-01-31,-0.2044896321322294,-0.6699653919168617,2.0
1992-02-07,-0.39560934595298464,-0.6416563247261265,0.0
1992-02-14,-0.5742157580717899,-0.2986379180325678,2.0
1992-02-21,-0.2355429977952908,-0.5827682923817527,0.0
1992-02-28,-0.27468948202706783,-0.28725818798102565,2.0
1992-03-06,-0.24194696891388462,-0.500927079081765,0.0
1992-03-13,-0.3154280116164958,0.42141973835104546,1.0
1992-03-20,-0.7890859198444734,0.31332621058713306,1.0
1992-03-27,-0.8376929809032407,-1.0254586350484935,2.0
1992-04-03,-0.8606859145396796,0.21707323775250562,1.0
1992-04-10,-0.7549319433518265,0.8167750737102824,1.0
1992-04-17,-0.717073221834288,-0.07994146026617305,0.0
1992-04-24,-0.7956598961024753,-0.6108885889469059,2.0
1992-05-01,-0.7823567822539007,-0.5700905447740428,1.0
1992-05-08,-0.8553339226412465,0.018364440214825497,1.0
1992-05-15,-0.9598419246761295,-0.7151872604730616,1.0
1992-05-22,-0.9022520018549764,0.2930600662787839,0.0
1992-05-29,-0.5556833446944315,-0.3369195275679826,1.0
1992-06-05,-0.6054229297623204,0.023145657653581602,2.0
1992-06-12,-0.599080631158484,0.1348944964031568,0.0
1992-06-19,-0.6680649174606165,0.599883959829734,1.0
1992-06-26,-1.0405270674692695,0.04974347734718182,2.0
1992-07-03,-1.0095584432128424,-0.27659898438516856,1.0
1992-07-10,-0.9871117688637314,0.06115039605453357,1.0
1992-07-17,-0.9642811628115533,-0.454802597716789,1.0
1992-07-24,-1.0015401037045313,-0.13467650122386488,0.0
1992-07-31,-1.1294169577598046,0.037238256730192085,1.0
1992-08-07,-1.1321765268063109,-0.40506543503146675,2.0
1992-08-14,-1.1282332025427537,0.45755580750361385,2.0
1992-08-21,-1.1564403773166274,-0.7873583730117761,2.0
1992-08-28,-0.9035318133600081,0.2676989702511335,0.0
1992-09-04,-0.9146521246846773,-0.22672390343504076,0.0
1992-09-11,-0.9477971752588397,-0.1082796050225353,1.0
1992-09-18,-0.9011692041803028,0.6354478215710806,1.0
1992-09-25,-1.1169838941490624,-0.9461332024162014,0.0
1992-10-02,-1.13779981500399,-1.3352011913730502,0.0
1992-10-09,-1.136448851807856,-1.1941182408869409,1.0
1992-10-16,-1.1946821633947244,0.4558488522406241,2.0
1992-10-23,-1.140076782273903,-0.20575252954173107,0.0
1992-10-30,-1.0835540279612268,-0.5091229635595578,2.0
1992-11-06,-0.9788092507858792,-0.19537516852371067,1.0
1992-11-13,-0.8662013893763928,-0.12311200039918813,0.0
1992-11-20,-0.8629599349767848,0.6384370368209191,0.0
1992-11-27,-0.8454350151655993,0.18353757776461999,0.0
1992-12-04,-0.8008586440410278,0.4374267217940318,0.0
1992-12-11,-0.7634288020984874,-0.22117365628410973,2.0
1992-12-18,-0.7005474958793513,1.214326938298989,2.0
1992-12-25,-0.7065983557673238,0.13022906782323718,2.0
1993-01-01,-0.7685243697003542,-0.6875344300329032,0.0
1993-01-08,-0.811232189036119,-0.3896381391207802,1.0
1993-01-15,-0.827879413167499,0.231341846377076,1.0
