date,return,sentiment
1988-09-09,-0.822669839313888,1.0
1988-09-16,-0.3717415298575592,2.0
1988-09-23,-0.007588550368132871,1.0
1988-09-30,0.2937634888877509,1.0
1988-10-07,0.38472325094308324,0.0
1988-10-14,0.3980225962019945,1.0
1988-10-21,0.533219213448688,0.0
1988-10-28,1.0581188857874986,0.0
1988-11-04,0.9534006528338796,0.0
1988-11-11,0.7740238049908209,2.0
1988-11-18,0.48482844442122025,0.0
1988-11-25,0.11261060261313403,0.0
1988-12-02,0.7458304149590217,2.0
1988-12-09,0.7729965722115304,2.0
1988-12-16,0.7823214171641252,2.0
1988-12-23,0.7741422099649611,0.0
1988-12-30,0.39476444384767356,0.0
1989-01-06,0.41571788604991194,1.0
1989-01-13,0.3686063566767041,2.0
1989-01-20,0.05121280873070993,0.0
